"","participant","activity","body_time_mean_X","body_time_mean_Y","body_time_mean_Z","body_time_stdev_X","body_time_stdev_Y","body_time_stdev_Z","gravity_time_mean_X","gravity_time_mean_Y","gravity_time_mean_Z","gravity_time_stdev_X","gravity_time_stdev_Y","gravity_time_stdev_Z","body_timeJerk_mean_X","body_timeJerk_mean_Y","body_timeJerk_mean_Z","body_timeJerk_stdev_X","body_timeJerk_stdev_Y","body_timeJerk_stdev_Z","gyro_time_mean_X","gyro_time_mean_Y","gyro_time_mean_Z","gyro_time_stdev_X","gyro_time_stdev_Y","gyro_time_stdev_Z","gyro_timeJerk_mean_X","gyro_timeJerk_mean_Y","gyro_timeJerk_mean_Z","gyro_timeJerk_stdev_X","gyro_timeJerk_stdev_Y","gyro_timeJerk_stdev_Z","body_frequency_mean_X","body_frequency_mean_Y","body_frequency_mean_Z","body_frequency_stdev_X","body_frequency_stdev_Y","body_frequency_stdev_Z","body_frequencyJerk_mean_X","body_frequencyJerk_mean_Y","body_frequencyJerk_mean_Z","body_frequencyJerk_stdev_X","body_frequencyJerk_stdev_Y","body_frequencyJerk_stdev_Z","gyro_frequency_mean_X","gyro_frequency_mean_Y","gyro_frequency_mean_Z","gyro_frequency_stdev_X","gyro_frequency_stdev_Y","gyro_frequency_stdev_Z"
"11",2,"walking_downstairs","3.9276304e-001","-5.9173884e-002","-1.1092832e-001","-1.4842192e-001","4.8984289e-002","-2.9634554e-001","8.8843472e-001","-3.5208513e-001","2.4746154e-002","-9.7455562e-001","-9.4963851e-001","-9.2848257e-001","7.4300402e-002","-6.6104089e-002","-6.5671959e-002","-1.6700288e-001","-9.1622896e-003","-4.6260992e-001","-1.3657719e-001","-4.2922748e-002","4.2663081e-002","-6.6849313e-001","-6.2096383e-001","-4.1792348e-001","-7.8410586e-002","-8.4675641e-002","-5.5340084e-002","-4.5834668e-001","-7.4384000e-001","-4.2791823e-001","-1.1794108e-001","6.7388359e-002","-3.1978221e-001","-1.6070482e-001","-2.7534537e-002","-3.3921413e-001","-1.6288395e-001","-1.7718332e-002","-4.2333336e-001","-2.4855583e-001","-7.0459844e-002","-4.9913777e-001","-4.9206157e-001","-6.3355229e-001","-2.7766164e-001","-7.2902145e-001","-6.1599440e-001","-5.2538793e-001"
"12",2,"walking_upstairs","2.5186651e-001","-3.0378942e-002","-3.5162970e-001","-3.4424039e-001","8.3311586e-002","-1.2472120e-002","8.9378375e-001","-4.1459246e-001","-4.0303941e-002","-9.2369394e-001","-9.4089643e-001","-6.1817194e-001","-1.8490689e-001","-1.3767000e-001","-3.2857225e-001","-4.0484298e-001","-1.4657494e-001","-6.5208598e-001","-5.5374785e-001","2.2175365e-001","5.2679773e-002","-6.5015868e-001","-4.8841211e-001","-1.9901602e-001","8.3044901e-003","-3.5256492e-002","1.3520290e-003","-6.1212382e-001","-7.3361380e-001","-5.0709511e-001","-3.5958280e-001","1.3070727e-002","-2.5849633e-001","-3.3817861e-001","5.1023965e-002","3.3138911e-002","-4.2086443e-001","-1.4946272e-001","-6.0133241e-001","-4.4111551e-001","-2.0511750e-001","-7.0338256e-001","-5.3125986e-001","-5.4910158e-001","-2.4289617e-001","-6.8817801e-001","-4.5777938e-001","-2.5828448e-001"
"13",3,"laying","2.6307307e-001","-2.0708401e-002","-1.0415558e-001","-9.1935324e-001","-7.6709802e-001","-7.9750281e-001","-3.1618977e-001","7.7207768e-001","6.1319050e-001","-9.0846103e-001","-7.9581568e-001","-8.0833615e-001","1.3068641e-001","1.6719362e-001","-1.3814519e-001","-9.2375993e-001","-8.6561434e-001","-9.2729949e-001","-2.1388010e-002","-1.8998582e-001","7.2394893e-001","-8.7726226e-001","-9.1006520e-001","-8.0852592e-001","-1.6121314e-001","2.5514150e-002","-1.4469071e-001","-9.1475269e-001","-9.6359032e-001","-9.2137768e-001","-9.0414720e-001","-7.8084073e-001","-8.3430392e-001","-9.2613456e-001","-7.7373084e-001","-7.9294342e-001","-9.1970446e-001","-8.5066370e-001","-9.1615212e-001","-9.3589829e-001","-8.9772066e-001","-9.3742287e-001","-8.4870605e-001","-9.1003654e-001","-8.0839030e-001","-8.8627913e-001","-9.1060688e-001","-8.2590151e-001"
"14",3,"sitting","3.2565360e-001","2.8817786e-002","-3.2056785e-002","-9.2064897e-001","-2.0852269e-001","-4.9648495e-001","9.3139929e-001","-2.6774002e-002","1.9167062e-001","-8.1470950e-001","-3.3175078e-001","-4.6397828e-001","2.7188333e-002","-3.9576333e-001","-3.1484469e-001","-9.8443227e-001","-9.2024411e-001","-9.7556104e-001","-3.1288463e-002","-1.8638331e-001","3.8056143e-001","-9.8047597e-001","-9.6260588e-001","-9.4940508e-001","-9.8857243e-002","-1.4880240e-002","-7.1397878e-002","-9.7664884e-001","-9.8538887e-001","-9.7931497e-001","-9.3085199e-001","-4.0432920e-001","-6.4645752e-001","-9.1666779e-001","-1.7001354e-001","-4.6245296e-001","-9.8184890e-001","-9.1773496e-001","-9.7091620e-001","-9.8958764e-001","-9.2939217e-001","-9.7900770e-001","-9.7379003e-001","-9.6291589e-001","-9.5664354e-001","-9.8256816e-001","-9.6257421e-001","-9.5157982e-001"
"15",3,"standing","2.3601277e-001","-2.6913144e-002","1.8639534e-001","-8.5411227e-001","-7.9511089e-001","-6.0579374e-001","9.6296785e-001","-2.7325393e-001","-3.3493074e-002","-9.3039400e-001","-8.3362440e-001","-3.3546634e-001","1.1212233e-001","-4.4605507e-002","-6.8564446e-002","-7.8180932e-001","-9.0511157e-001","-8.7088595e-001","9.8123013e-002","2.9317541e-001","-1.1263211e-001","-8.3342392e-001","-6.6074448e-001","-6.3412345e-001","-1.7949258e-001","-2.2907339e-001","3.2910476e-001","-8.4987152e-001","-7.4454172e-001","-6.9976107e-001","-8.0663752e-001","-8.3293328e-001","-7.5029388e-001","-8.7775707e-001","-7.8917999e-001","-5.6884518e-001","-7.7651007e-001","-9.0496320e-001","-8.4842660e-001","-8.0833321e-001","-9.1219488e-001","-8.9341450e-001","-7.8223803e-001","-6.1773422e-001","-4.5616337e-001","-8.4965346e-001","-6.9263247e-001","-7.5022132e-001"
"16",3,"walking","3.3614928e-001","-2.3240895e-002","-1.7409769e-001","-5.4884909e-001","-2.4749624e-001","-4.4772260e-001","9.4613051e-001","-2.5669097e-001","-9.1242197e-002","-9.7816149e-001","-9.5605074e-001","-9.2261833e-001","1.4887199e-001","-4.4374565e-001","-2.9471117e-001","-6.1036519e-001","-4.0956639e-001","-6.6353880e-001","6.6472613e-002","-1.8039075e-001","2.1533809e-002","-5.6158128e-001","-7.4019888e-001","-5.7310879e-001","-5.2285122e-002","1.4460449e-001","-2.7914086e-001","-5.3036689e-001","-7.9511844e-001","-6.6577864e-001","-5.3976481e-001","-2.0663960e-001","-4.7433379e-001","-5.5236797e-001","-3.1785096e-001","-4.7628199e-001","-6.0679740e-001","-4.6466821e-001","-6.4716747e-001","-6.5046645e-001","-3.8814366e-001","-6.7749329e-001","-4.6080163e-001","-7.0940076e-001","-4.9251230e-001","-5.9366141e-001","-7.6298612e-001","-6.4210960e-001"
"17",3,"walking_downstairs","1.9545090e-001","-8.7076916e-003","-1.0560986e-001","-1.0314719e-001","-1.8798116e-001","-4.8696159e-001","9.3362318e-001","-2.0523338e-001","-1.0848042e-001","-9.5136186e-001","-9.0985728e-001","-9.7967108e-001","-1.3016058e-001","-4.1499767e-001","-1.3512503e-002","-1.4793830e-001","-2.5060599e-001","-6.9653265e-001","-3.4608336e-001","2.5036627e-001","2.9980431e-001","-5.8849592e-001","-6.5029283e-001","-5.5443227e-001","-1.5310114e-001","4.4268504e-002","-2.1370091e-002","-4.1548423e-001","-7.5707617e-001","-5.2275955e-001","-8.6319859e-002","-1.3816784e-001","-5.5355235e-001","-1.0982775e-001","-2.6745244e-001","-4.9072613e-001","-1.2540221e-001","-2.6767467e-001","-6.5699830e-001","-2.5392864e-001","-2.8368253e-001","-7.3549618e-001","-4.9086539e-001","-6.6851211e-001","-4.5525306e-001","-6.1952077e-001","-6.4186763e-001","-6.3301578e-001"
"18",3,"walking_upstairs","5.8825669e-002","-1.0861280e-001","-7.6527896e-002","-4.6700175e-001","-1.3779586e-001","-4.1498046e-001","9.1875957e-001","-3.4508795e-001","-1.5338932e-001","-8.7410345e-001","-7.1747128e-001","-9.2844395e-001","1.0652535e-001","4.2197244e-001","-2.3811482e-002","-5.8539994e-001","-4.6119393e-001","-7.6298065e-001","2.5671397e-001","-2.5816231e-001","-7.3977483e-002","-7.1153970e-001","-6.9110551e-001","-5.6886409e-001","-1.2968970e-001","-7.3352052e-002","-3.0171475e-001","-6.5526295e-001","-8.7211370e-001","-6.6164757e-001","-5.5324672e-001","-2.1657982e-001","-5.9630647e-001","-4.3642442e-001","-1.5217525e-001","-3.7312607e-001","-6.0259682e-001","-5.1813319e-001","-7.4223280e-001","-6.0396850e-001","-4.3467723e-001","-7.8177563e-001","-6.6722742e-001","-7.7242608e-001","-5.1611886e-001","-7.2621318e-001","-6.5213012e-001","-6.2695263e-001"
"19",4,"laying","5.1028466e-002","6.5653695e-003","-1.1217226e-001","-6.0869833e-001","-6.5097410e-001","-8.3342996e-001","-3.4301016e-001","8.6246024e-001","4.6336200e-001","-2.0474849e-001","-7.3272616e-001","-9.1387976e-001","3.3075120e-001","-4.2699440e-002","-6.0121755e-002","-8.9068553e-001","-7.0352768e-001","-8.8589443e-001","1.5116583e-001","-2.2362178e-001","7.1543772e-001","-8.6978440e-001","-9.2614353e-001","-8.2611812e-001","-1.3405412e-001","-3.0192121e-002","-1.1996395e-001","-8.3606282e-001","-9.5474748e-001","-8.9864183e-001","-6.5389448e-001","-6.6946696e-001","-8.3887952e-001","-5.9201195e-001","-6.6264189e-001","-8.4282882e-001","-8.8684091e-001","-7.1907171e-001","-8.6427345e-001","-9.0548764e-001","-7.0606886e-001","-9.0789325e-001","-8.1907818e-001","-9.2859044e-001","-8.3648129e-001","-8.8619242e-001","-9.2508479e-001","-8.3853387e-001"
"20",4,"sitting","1.9014289e-001","5.5032093e-002","-8.3097959e-002","-9.2510663e-001","-6.6513585e-001","-9.2014772e-001","8.8041587e-001","2.4107594e-001","2.2445077e-001","-8.4030005e-001","-6.7887167e-001","-8.6923125e-001","1.0456858e-001","-9.9250593e-002","-4.8326319e-002","-9.4757785e-001","-9.0392918e-001","-9.8599924e-001","-5.0841477e-002","-1.0446239e-001","3.2997898e-001","-9.7704107e-001","-9.5595734e-001","-9.3428067e-001","-9.9054541e-002","-2.3636061e-002","3.1281549e-003","-9.7754122e-001","-9.7965229e-001","-9.7187322e-001","-9.3163211e-001","-7.6274871e-001","-9.4779708e-001","-9.2242581e-001","-6.4278382e-001","-9.1162514e-001","-9.4616926e-001","-9.0179573e-001","-9.8020857e-001","-9.5409046e-001","-9.1376614e-001","-9.9172661e-001","-9.7191610e-001","-9.5917159e-001","-9.2346105e-001","-9.7859718e-001","-9.5426128e-001","-9.4416385e-001"
"21",4,"standing","1.9918776e-001","3.6583027e-002","3.1935782e-001","-8.9079400e-001","-5.5587806e-001","-3.1448388e-001","9.6927213e-001","-8.4040058e-002","7.3876458e-002","-8.9971021e-001","-6.0779252e-001","2.9107265e-002","4.2117206e-002","-1.0768182e-001","-2.7570023e-001","-8.0898767e-001","-8.2837628e-001","-8.8533115e-001","2.5370916e-001","1.4790444e-001","1.9970382e-001","-8.1046347e-001","-6.9826841e-001","-7.1643027e-001","-1.2443561e-001","-1.7786170e-001","-7.5314463e-002","-7.7391964e-001","-8.0578458e-001","-8.2429702e-001","-8.4264002e-001","-6.5364082e-001","-5.6803358e-001","-9.1706126e-001","-5.3826577e-001","-2.5112310e-001","-7.8777877e-001","-8.1355063e-001","-8.6670980e-001","-8.5539564e-001","-8.6236564e-001","-9.0348732e-001","-7.4544905e-001","-6.9429669e-001","-7.1359653e-001","-8.3124616e-001","-7.0280422e-001","-7.4314142e-001"
"22",4,"walking","3.0915404e-001","4.6080947e-002","-9.8416109e-002","-5.2777609e-001","-2.7059129e-001","-5.7376047e-001","9.6523758e-001","-1.3681314e-001","1.4805695e-001","-9.8269842e-001","-8.7310778e-001","-9.2873489e-001","3.3479577e-001","-6.2923819e-002","7.9446864e-002","-3.7619401e-001","-4.9521340e-001","-7.4019255e-001","-2.5204365e-001","2.7198839e-002","-4.9660065e-002","-6.1952018e-001","-6.8632273e-001","-6.5494650e-001","-7.1427697e-002","-2.7049695e-002","1.3994430e-001","-6.5087790e-001","-8.0662628e-001","-6.8652710e-001","-4.3859875e-001","-3.5012129e-001","-6.1880775e-001","-5.6785624e-001","-2.7664226e-001","-5.8198895e-001","-4.1303473e-001","-5.3021132e-001","-7.2747790e-001","-3.9255595e-001","-4.8998489e-001","-7.5062548e-001","-5.6534124e-001","-7.4251605e-001","-5.6522329e-001","-6.3772926e-001","-6.5820456e-001","-7.2161373e-001"
"23",4,"walking_downstairs","3.2860731e-001","1.3722763e-002","-7.3780445e-002","-6.7456994e-002","-3.4568642e-001","-5.4353541e-001","9.4991547e-001","-1.0077262e-001","1.4991033e-001","-9.4737244e-001","-9.1726749e-001","-9.4143027e-001","2.9519408e-001","-3.2951541e-001","1.6095628e-002","-3.1005386e-001","-2.9033572e-001","-6.7813989e-001","1.3502711e-002","-6.9952700e-002","6.0813375e-002","-5.7648102e-001","-7.4577884e-001","-5.7521084e-001","-1.1956010e-001","4.2634348e-002","-1.1877160e-001","-5.2259688e-001","-8.3431309e-001","-4.4637310e-001","-2.1430998e-001","-1.9335386e-001","-5.8056917e-001","-1.5478443e-002","-4.8682890e-001","-5.5849493e-001","-3.2072380e-001","-2.4553326e-001","-6.4992587e-001","-3.6097530e-001","-4.0463005e-001","-7.0428858e-001","-4.8113432e-001","-7.3613686e-001","-4.2402748e-001","-6.0686007e-001","-7.5365666e-001","-6.7760072e-001"
"24",4,"walking_upstairs","3.6323991e-001","-9.1988202e-002","-2.3958561e-001","-2.5446968e-001","-1.3921555e-002","-3.5064887e-001","9.5257140e-001","-2.2221705e-001","1.2376385e-001","-9.5180147e-001","-7.4694727e-001","-7.7973841e-001","1.6443398e-001","-3.5077615e-002","-2.7421275e-001","-4.2226436e-001","-4.7881673e-001","-7.4748954e-001","-2.3021161e-002","-2.1950604e-001","-1.3439658e-002","-7.0143076e-001","-6.1987985e-001","-2.3360054e-001","-1.1784278e-002","6.2966368e-002","-1.9496817e-001","-6.9014918e-001","-8.5227915e-001","-5.9288167e-001","-2.9176738e-001","-2.0212309e-001","-4.4560866e-001","-2.4019327e-001","1.2157692e-002","-3.5038862e-001","-4.3566160e-001","-4.7127332e-001","-7.1798350e-001","-4.5988832e-001","-5.2678635e-001","-7.7575353e-001","-6.1670557e-001","-7.0021772e-001","-3.1970146e-001","-7.2828681e-001","-5.8030500e-001","-2.7738277e-001"
"25",5,"laying","2.2616075e-001","-3.2703273e-002","-1.3220875e-001","-7.4266357e-001","-8.0799799e-001","-8.3919440e-001","-5.3043802e-001","9.6805908e-001","2.4649152e-001","-5.1950503e-001","-9.2277950e-001","-9.2610384e-001","2.6779786e-001","-9.7408083e-003","1.0740572e-002","-9.1345405e-001","-7.7445830e-001","-9.4728613e-001","-1.5212033e-002","-1.5031274e-001","6.8000580e-001","-8.9728883e-001","-9.3210101e-001","-8.1422417e-001","-1.0545881e-001","-1.6328744e-002","-1.1773498e-001","-9.2636264e-001","-9.2343383e-001","-9.3968928e-001","-7.5038195e-001","-7.9030587e-001","-9.0168882e-001","-7.3946272e-001","-8.2954726e-001","-8.2156661e-001","-9.0913137e-001","-7.8106706e-001","-9.3950893e-001","-9.2679031e-001","-7.8250113e-001","-9.5382008e-001","-8.9002032e-001","-9.1906439e-001","-8.4755794e-001","-9.0016541e-001","-9.4202941e-001","-8.2121979e-001"
"26",5,"sitting","1.2080064e-001","1.4263826e-001","-9.9045917e-002","-9.2367420e-001","-2.1478685e-002","-8.2780587e-001","7.4287757e-001","3.7353617e-001","3.0061916e-001","-8.0311813e-001","-7.7872451e-002","-7.6272479e-001","6.0991034e-002","-5.1868670e-001","1.3799389e-001","-9.1518369e-001","-8.4529955e-001","-9.1983101e-001","-4.5105766e-002","-1.2212518e-001","4.1277462e-001","-8.8680953e-001","-8.8960083e-001","-8.3121498e-001","-7.7426976e-002","-2.6333613e-002","2.2527145e-002","-8.9436908e-001","-9.4312555e-001","-8.7788756e-001","-9.1674156e-001","-2.0861043e-001","-8.3035805e-001","-9.2646869e-001","4.6812356e-003","-8.3941684e-001","-9.1816516e-001","-8.5056386e-001","-9.0925904e-001","-9.1949222e-001","-8.4992447e-001","-9.2909593e-001","-8.6374888e-001","-9.0030651e-001","-8.0515085e-001","-8.9413797e-001","-8.8411463e-001","-8.5604850e-001"
